Distribució de la superfície agrícola utilitzada (SAU)
Municipis. 2020
Font: Idescat, a partir de les dades del Cens agrari de l'INE.
(..) Dada confidencial, amb baixa fiabilitat o no disponible.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=censag&n=16059&geo=mun
Codi;Nom;SAU  explot.;SAU  ha;Terres llaurades  total  explot.;Terres llaurades  total  ha;Terres llaurades  conreus en hivernacle o amb protecció alta accessible  explot.;Terres llaurades  conreus en hivernacle o amb protecció alta accessible  ha;Terres llaurades  conreus herbacis a l'aire lliure i/o amb protecció baixa  explot.;Terres llaurades  conreus herbacis a l'aire lliure i/o amb protecció baixa  ha;Terres llaurades  guarets (inclou terres sembrades per a adob en verd)  explot.;Terres llaurades  guarets (inclou terres sembrades per a adob en verd)  ha;Terres llaurades  conreus llenyosos permanents a l'aire lliure  explot.;Terres llaurades  conreus llenyosos permanents a l'aire lliure  ha;Terres llaurades  horts per a consum propi  explot.;Terres llaurades  horts per a consum propi  ha;Terres per a pastures permanents  explot.;Terres per a pastures permanents  ha
080902;Gaià;18;880;18;659;0;0;17;618;8;40;2;1;6;0;5;222
430635;Galera, la;181;2354;180;2276;0;0;17;37;37;49;178;2190;11;0;1;78
080879;Gallifa;5;267;3;95;0;0;3;93;1;2;0;0;0;0;4;172
430640;Gandesa;293;2588;293;2581;2;0;87;329;154;214;290;2036;50;1;5;7
430653;Garcia;140;876;140;867;0;0;30;27;60;50;139;789;18;0;3;9
430666;Garidells, els;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
080885;Garriga, la;15;253;15;239;0;0;11;159;5;29;12;51;3;0;4;14
170754;Garrigàs;21;1296;21;1294;0;0;19;1009;13;63;7;221;5;0;2;1
170767;Garrigoles;12;417;12;393;0;0;10;359;2;13;7;21;2;0;5;24
170773;Garriguella;63;959;62;873;0;0;15;172;15;51;58;650;4;0;7;86
080898;Gavà;53;355;50;193;11;7;43;157;14;21;6;8;2;0;3;162
250984;Gavet de la Conca;86;2730;86;2489;0;0;83;1987;48;178;57;324;13;0;6;241
080919;Gelida;50;510;50;510;1;8;11;13;18;25;48;464;9;0;1;0
170789;Ger;25;3166;19;69;0;0;18;68;0;0;1;0;7;0;25;3098
259123;Gimenells i el Pla de la Font;211;4796;207;4751;1;0;184;4095;39;80;73;576;34;1;4;44
430672;Ginestar;116;682;116;675;2;0;15;35;53;66;115;573;23;1;2;7
170792;Girona;12;378;12;366;2;1;10;342;4;21;4;2;2;0;2;12
080924;Gironella;7;90;7;85;0;0;7;85;1;1;1;0;1;0;1;5
080930;Gisclareny;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
430688;Godall;140;1684;140;1684;1;3;20;117;32;67;138;1497;9;0;0;0
250997;Golmés;111;1023;111;1023;1;0;92;610;21;23;49;389;12;0;0;0
170806;Gombrèn;20;1080;10;45;1;0;8;45;0;0;0;0;4;0;18;1036
251001;Gósol;12;1040;10;118;0;0;10;118;0;0;1;0;5;0;12;921
080945;Granada, la;49;604;49;604;0;0;4;136;10;11;48;457;4;0;0;0
251018;Granadella, la;201;4282;201;4247;2;1;51;474;95;170;198;3601;35;1;3;34
080958;Granera;8;59;8;59;0;0;6;54;2;3;1;2;2;0;1;0
251023;Granja d'Escarp, la;96;1402;95;1144;0;0;11;55;44;63;91;1026;2;0;6;258
080961;Granollers;26;266;25;264;1;0;22;248;8;15;3;1;9;0;1;2
251039;Granyanella;71;1760;71;1760;0;0;67;1459;42;146;52;154;11;0;0;0
251057;Granyena de les Garrigues;60;1440;60;1433;0;0;8;182;33;114;59;1137;4;0;1;7
251044;Granyena de Segarra;41;925;41;925;0;0;40;806;20;35;32;85;2;0;0;0
430691;Gratallops;68;449;68;445;0;0;4;0;22;23;68;422;6;0;5;3
080977;Gualba;5;40;5;40;2;0;4;37;1;0;3;3;3;0;0;0
170813;Gualta;15;414;15;414;1;0;12;215;7;15;14;184;2;0;0;0
080996;Guardiola de Berguedà;13;1556;9;61;0;0;8;60;0;0;1;1;0;0;12;1495
430705;Guiamets, els;77;499;77;497;1;0;15;5;39;31;77;461;7;0;2;1
170828;Guils de Cerdanya;25;2425;24;279;0;0;23;273;4;4;1;2;2;0;20;2146
251095;Guimerà;57;2004;57;2004;0;0;53;1637;35;60;42;307;17;0;2;0
259031;Guingueta d'Àneu, la;22;3808;16;105;0;0;12;93;1;2;3;10;5;0;22;3703
251109;Guissona;79;1323;79;1323;0;0;79;1255;17;50;16;18;5;0;0;0
251116;Guixers;18;1200;15;68;0;0;14;66;1;0;4;2;6;0;16;1132
081000;Gurb;130;2356;128;2206;2;0;127;2192;10;13;0;0;44;1;20;150
430712;Horta de Sant Joan;204;2662;203;2233;2;2;92;361;97;142;196;1727;48;1;21;428
081017;Hospitalet de Llobregat, l';..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
081629;Hostalets de Pierola, els;21;607;21;607;0;0;8;254;10;52;21;302;3;0;0;0
170834;Hostalric;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
081022;Igualada;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
251155;Isona i Conca Dellà;206;7321;205;5583;0;0;184;4542;102;232;147;808;38;1;23;1738
170849;Isòvol;14;579;11;87;0;0;8;83;0;0;2;5;5;0;13;492
251137;Ivars d'Urgell;129;1890;129;1890;1;0;123;1574;14;15;47;300;22;0;0;0
251121;Ivars de Noguera;40;834;40;833;1;0;31;445;29;54;35;333;7;0;2;0
251142;Ivorra;48;1198;48;1198;0;0;47;1101;24;82;11;15;4;0;0;0
170852;Jafre;7;494;7;494;1;0;6;466;3;16;3;12;4;0;0;0
170865;Jonquera, la;14;1130;13;123;0;0;7;111;2;2;10;11;1;0;6;1007
081038;Jorba;36;1112;36;1112;0;0;32;974;18;100;19;37;8;0;0;0
259101;Josa i Tuixén;15;1859;9;75;0;0;8;75;0;0;0;0;1;0;15;1784
170871;Juià;12;271;11;265;0;0;11;253;3;11;1;1;2;0;1;6
251180;Juncosa;182;2754;179;2724;0;0;19;84;59;44;178;2597;12;0;5;31
251193;Juneda;247;3279;246;3265;3;1;209;2162;61;152;137;949;29;1;4;14
251214;Les;14;838;8;49;0;0;5;45;1;3;1;1;4;0;12;789
251229;Linyola;200;2636;198;2631;1;0;194;2503;28;12;27;115;38;1;2;5
081043;Llacuna, la;62;1375;60;1276;0;0;46;864;35;140;37;271;16;0;4;99
170887;Lladó;19;453;18;422;0;0;15;401;6;8;10;12;8;0;4;31
251235;Lladorre;29;5814;20;91;0;0;16;88;0;0;2;3;8;0;29;5722
251240;Lladurs;41;3256;39;1569;0;0;37;1485;17;77;2;6;15;0;19;1687
081056;Llagosta, la;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
170890;Llagostera;85;1899;83;1846;0;0;79;1734;18;49;15;62;30;1;10;54
170904;Llambilles;11;171;11;171;0;0;11;165;4;6;2;0;3;0;1;0
170911;Llanars;16;1063;13;70;0;0;12;69;0;0;0;0;6;0;16;994
170926;Llançà;16;412;15;71;1;0;7;49;1;3;11;18;6;0;4;341
251253;Llardecans;173;4344;173;4317;0;0;52;472;96;266;168;3579;4;0;4;27
251266;Llavorsí;12;1243;9;38;0;0;6;38;0;0;0;0;6;0;12;1204
251207;Lleida;821;13909;810;13777;14;7;470;6730;301;589;592;6448;163;4;28;132
170932;Llers;37;735;36;683;1;1;24;543;11;22;30;117;6;0;6;53
251272;Lles de Cerdanya;41;5081;29;140;1;0;18;138;0;0;2;2;11;0;40;4940
081075;Lliçà d'Amunt;29;504;28;500;2;1;27;452;10;45;2;2;10;0;3;4
081081;Lliçà de Vall;8;83;8;83;0;0;8;76;3;7;1;1;4;0;0;0
251288;Llimiana;33;811;32;613;0;0;27;429;16;55;27;129;9;0;4;199
081069;Llinars del Vallès;18;214;18;214;0;0;16;193;2;8;2;12;3;0;3;1
170947;Llívia;20;1033;18;339;0;0;17;327;8;11;2;1;3;0;13;694
430727;Lloar, el;10;53;10;46;0;0;0;0;4;0;10;46;1;0;1;7
251291;Llobera;44;2172;42;2027;0;0;42;1937;27;86;7;4;16;0;7;145
430733;Llorac;27;1149;25;1142;0;0;24;1101;12;39;2;1;4;0;3;7
430748;Llorenç del Penedès;44;174;44;174;2;1;8;5;17;15;42;153;10;0;0;0
170950;Lloret de Mar;7;84;6;9;0;0;5;6;1;0;3;3;1;0;2;75
170963;Llosses, les;41;3699;32;186;0;0;28;184;1;2;0;0;10;0;41;3514
081094;Lluçà;39;2385;36;1123;0;0;35;1111;7;6;4;5;10;0;20;1263
171024;Maçanet de Cabrenys;5;145;5;71;0;0;5;69;1;1;3;1;3;0;5;74
171030;Maçanet de la Selva;37;813;36;813;1;2;33;776;14;28;6;7;8;0;2;0
170979;Madremanya;16;389;16;389;0;0;16;367;8;15;10;7;8;0;0;0
170985;Maià de Montcal;15;620;15;563;0;0;14;558;3;4;1;0;3;0;5;57
251333;Maials;171;3112;170;3097;1;0;19;151;86;138;168;2807;2;0;3;15
251305;Maldà;107;1804;107;1804;0;0;74;829;40;45;101;930;12;0;1;0
081108;Malgrat de Mar;61;203;61;203;21;13;58;157;18;19;5;14;3;0;0;0
081115;Malla;33;751;33;748;0;0;32;737;3;10;0;0;11;0;3;3
081120;Manlleu;41;679;38;640;1;0;38;636;5;4;1;0;12;0;12;39
081136;Manresa;81;1104;79;1075;5;1;77;873;29;73;40;128;24;1;7;29
430764;Marçà;111;573;110;477;0;0;22;39;40;35;109;402;28;1;2;97
430751;Margalef;19;267;19;267;0;0;2;9;4;1;19;257;4;0;0;0
082423;Marganell;6;106;5;103;0;0;3;92;0;0;4;11;0;0;1;3
081141;Martorell;5;12;5;12;0;0;3;4;0;0;4;8;1;0;0;0
081154;Martorelles;4;4;4;4;0;0;0;0;1;0;4;4;0;0;0;0
430770;Mas de Barberans;304;3995;304;3705;1;0;14;45;18;16;304;3643;13;0;1;291
171002;Masarac;36;656;33;592;1;0;22;392;18;47;29;153;5;0;7;64
430786;Masdenverge;186;754;184;751;0;0;24;74;23;18;181;658;18;1;4;4
081167;Masies de Roda, les;32;684;30;487;0;0;29;478;5;9;0;0;9;0;10;196
081173;Masies de Voltregà, les;36;1029;33;802;2;0;33;785;4;17;0;0;7;0;12;227
430799;Masllorenç;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
081189;Masnou, el;5;10;5;10;3;2;5;4;1;4;0;0;2;0;0;0
430803;Masó, la;40;222;40;222;0;0;6;15;16;21;40;186;7;0;1;0
430810;Maspujols;18;60;18;60;0;0;4;0;5;0;18;60;2;0;0;0
081192;Masquefa;20;497;20;496;0;0;10;34;8;21;19;441;6;0;1;0
430825;Masroig, el;111;602;111;601;0;0;13;4;40;36;111;560;13;0;5;1
251312;Massalcoreig;96;851;94;826;0;0;13;3;51;65;93;759;7;0;4;25
171019;Massanes;12;182;11;181;2;0;10;175;4;6;1;0;0;0;3;1
251327;Massoteres;64;1886;63;1876;0;0;63;1792;29;62;18;22;4;0;1;11
081206;Matadepera;4;177;4;167;0;0;1;21;2;140;2;6;0;0;1;10
081213;Mataró;36;99;36;98;19;12;31;81;2;0;3;5;8;0;1;1
081228;Mediona;47;1245;47;1238;0;0;26;424;26;127;39;687;8;0;3;7
251348;Menàrguens;77;1834;77;1830;0;0;67;1348;29;93;42;389;11;0;2;3
170998;Meranges;9;2735;8;24;0;0;8;24;0;0;1;0;1;0;9;2711
171058;Mieres;23;830;21;538;0;0;20;527;4;5;3;6;8;0;15;293
430831;Milà, el;46;245;46;245;0;0;6;8;16;8;46;229;7;0;0;0
251351;Miralcamp;104;1199;103;1196;1;0;82;602;27;36;64;558;10;0;1;3
430846;Miravet;95;819;95;818;0;0;16;120;40;44;92;654;13;0;2;1
081385;Moià;70;3166;70;2032;1;0;67;1902;22;124;5;5;14;0;32;1134
430859;Molar, el;75;515;75;514;0;0;9;1;28;18;75;494;8;0;2;1
081234;Molins de Rei;12;27;11;26;1;0;9;12;1;0;8;14;1;0;1;1
251370;Mollerussa;16;158;16;158;0;0;14;84;4;3;6;71;2;0;0;0
171061;Mollet de Peralada;17;473;17;436;0;0;9;231;9;34;16;171;3;0;4;37
081249;Mollet del Vallès;19;349;19;349;0;0;17;324;5;22;6;3;2;0;0;0
171077;Molló;27;2884;20;106;0;0;16;106;0;0;0;0;7;0;27;2778
251364;Molsosa, la;26;1205;26;1016;0;0;26;992;13;23;3;2;4;0;3;188
081287;Monistrol de Calders;4;458;4;212;0;0;4;204;3;8;0;0;2;0;3;246
081271;Monistrol de Montserrat;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
171096;Montagut i Oix;35;1162;27;361;0;0;24;355;2;2;4;4;6;0;28;801
430862;Montblanc;123;1769;122;1668;2;1;62;909;51;156;114;601;30;1;7;101
430884;Montbrió del Camp;143;582;142;579;0;0;12;30;50;54;142;496;14;0;1;3
081252;Montcada i Reixac;12;487;11;466;0;0;10;436;4;28;2;2;1;0;2;21
081304;Montclar;24;983;24;697;0;0;24;682;7;14;2;2;7;0;10;285
251399;Montellà i Martinet;28;1776;15;73;1;0;13;72;0;0;1;1;3;0;27;1703
081311;Montesquiu;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
251403;Montferrer i Castellbò;55;5129;44;456;0;0;39;438;4;14;4;4;15;0;44;4673
430897;Montferri;47;641;47;640;0;0;10;7;25;47;47;586;5;0;1;0
251386;Montgai;131;2009;131;2009;0;0;127;1851;58;125;31;33;29;1;0;0
081265;Montgat;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
081326;Montmajor;53;2956;52;1683;0;0;52;1637;19;37;3;9;17;0;22;1273
081332;Montmaneu;28;712;27;709;0;0;27;685;10;23;1;1;4;0;1;3
430901;Montmell, el;28;689;27;489;0;0;4;16;18;29;27;444;1;0;2;200
081350;Montmeló;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
251425;Montoliu de Lleida;30;402;30;402;0;0;20;121;16;53;30;227;6;0;0;0
251410;Montoliu de Segarra;62;2122;62;2122;0;0;61;1962;35;72;31;88;7;0;1;1
251431;Montornès de Segarra;18;870;18;870;0;0;18;639;13;35;18;196;6;0;0;0
081363;Montornès del Vallès;14;81;14;81;0;0;8;74;2;2;7;5;4;0;0;0
430918;Mont-ral;17;111;17;111;0;0;4;6;5;7;17;98;5;0;0;0
171100;Mont-ras;18;231;18;229;0;0;12;209;4;4;13;16;3;0;1;2
430923;Mont-roig del Camp;278;1964;277;1955;3;1;65;695;45;63;262;1194;32;1;3;9
081379;Montseny;13;108;13;49;0;0;12;48;2;0;1;1;7;0;5;59
430939;Móra d'Ebre;152;1337;150;1315;3;2;25;61;50;79;146;1172;29;1;4;22
430944;Móra la Nova;65;444;65;444;1;0;11;12;18;12;65;419;10;0;1;0
430957;Morell, el;38;257;38;257;0;0;6;16;6;7;37;234;2;0;0;0
430960;Morera de Montsant, la;45;420;45;414;0;0;1;0;21;40;44;373;7;0;1;6
081290;Muntanyola;28;980;27;479;0;0;26;468;6;9;3;1;7;0;13;501
081398;Mura;5;158;5;152;0;0;4;112;3;27;5;14;3;0;1;5
251459;Nalec;20;740;20;740;0;0;16;472;14;27;20;241;2;0;0;0
250254;Naut Aran;252;12234;100;620;0;0;80;492;20;19;32;109;18;0;250;11614
081402;Navarcles;4;16;4;16;0;0;3;14;0;0;2;2;2;0;0;0
081419;Navàs;46;1983;43;1633;0;0;39;1509;26;75;18;49;20;0;12;350
171117;Navata;26;974;25;964;0;0;24;889;8;43;7;32;3;0;3;10
251462;Navès;66;5379;61;2358;0;0;61;2244;21;79;4;35;17;0;30;3021
081424;Nou de Berguedà, la;5;274;5;46;0;0;5;46;0;0;0;0;1;0;5;228
430976;Nou de Gaià, la;22;168;22;168;1;1;5;7;9;7;21;153;2;0;0;0
430982;Nulles;48;769;48;769;0;0;12;27;31;62;48;680;4;0;0;0
251484;Odèn;49;3496;48;745;0;0;43;695;14;33;11;16;16;0;28;2751
081430;Òdena;89;2651;89;2525;3;1;76;1956;45;288;65;279;24;1;2;126
171122;Ogassa;17;1650;13;243;0;0;12;241;1;1;1;1;3;0;17;1407
081458;Olèrdola;55;814;55;750;0;0;20;42;22;33;54;675;9;0;4;64
081461;Olesa de Bonesvalls;16;131;15;129;0;0;4;25;4;11;15;92;2;0;1;2
081477;Olesa de Montserrat;33;86;31;78;2;0;5;6;3;4;29;68;9;0;2;8
251497;Oliana;24;370;23;274;0;0;22;265;7;7;8;2;6;0;6;96
251500;Oliola;97;6123;96;5812;0;0;96;5396;62;349;24;67;15;0;9;311
251517;Olius;46;2347;45;1962;0;0;45;1901;19;59;4;1;8;0;8;385
081483;Olivella;14;172;13;153;0;0;5;20;3;5;10;129;1;0;4;19
081496;Olost;40;1615;39;1371;0;0;39;1343;11;25;2;3;10;0;10;244
171143;Olot;38;681;36;567;0;0;36;550;6;11;5;5;13;0;24;114
251522;Oluges, les;53;1273;53;1273;0;0;53;1188;18;37;26;48;7;0;0;0
081445;Olvan;27;2119;26;746;0;0;25;744;1;1;2;1;10;0;16;1373
251538;Omellons, els;49;770;49;745;0;0;20;139;26;38;48;569;4;0;3;24
251543;Omells de na Gaia, els;25;810;25;810;0;0;19;552;11;66;25;192;4;0;0;0
171156;Ordis;15;510;15;510;0;0;15;471;8;34;5;5;4;0;1;0
251556;Organyà;14;248;12;124;0;0;11;112;1;1;9;11;7;0;9;124
081509;Orís;21;652;21;466;0;0;21;463;4;3;0;0;10;0;13;186
081516;Oristà;77;2925;74;2424;0;0;74;2352;32;70;5;1;24;1;21;501
081521;Orpí;9;343;9;305;0;0;7;270;7;21;5;14;1;0;2;37
081537;Òrrius;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
251569;Os de Balaguer;95;2772;92;2382;2;6;70;1481;42;143;81;751;23;1;10;390
171169;Osor;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
251575;Ossó de Sió;52;2512;51;2494;0;0;50;2289;34;176;15;29;10;0;2;18
081542;Pacs del Penedès;23;199;23;199;0;0;8;11;9;5;23;184;1;0;0;0
081555;Palafolls;48;295;48;285;23;19;44;235;16;29;6;2;3;0;4;10
171175;Palafrugell;34;947;34;947;1;0;29;883;14;34;22;30;5;0;0;0
171181;Palamós;8;208;8;208;0;0;6;167;2;1;7;40;2;0;0;0
251581;Palau d'Anglesola, el;78;1100;78;1100;1;0;71;848;7;18;25;233;11;0;0;0
171194;Palau de Santa Eulàlia;15;478;15;477;0;0;12;439;8;29;6;10;2;0;1;0
171215;Palau-sator;22;767;22;767;1;0;19;631;8;17;15;119;4;0;1;0
171208;Palau-saverdera;52;836;50;573;0;0;16;311;13;58;47;204;10;0;11;263
081568;Palau-solità i Plegamans;19;543;19;532;1;1;18;483;12;44;3;3;3;0;2;11
431009;Pallaresos, els;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
081574;Pallejà;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
430995;Palma d'Ebre, la;90;1271;90;1271;1;11;13;3;26;41;90;1216;9;0;0;0
089058;Palma de Cervelló, la;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
171236;Palol de Revardit;12;259;12;259;0;0;11;250;3;9;0;0;4;0;0;0
171241;Pals;37;1572;37;1569;2;0;32;1436;21;109;16;24;5;0;2;2
081580;Papiol, el;15;51;14;35;2;0;8;7;5;1;12;27;2;0;3;16
171254;Pardines;12;1438;11;27;0;0;10;27;0;0;0;0;3;0;12;1411
081593;Parets del Vallès;14;229;14;229;0;0;14;211;2;17;2;1;2;0;0;0
171267;Parlavà;21;482;20;480;0;0;20;451;9;15;3;14;13;0;2;3
431016;Passanant i Belltall;38;1305;38;1305;0;0;38;1163;28;97;20;45;3;0;0;0
171289;Pau;38;715;38;593;1;10;13;341;8;29;33;212;2;0;7;122
431021;Paüls;132;789;131;638;0;0;40;5;13;4;131;628;39;1;6;150
171292;Pedret i Marzà;19;581;19;525;0;0;14;370;9;31;14;125;3;0;4;56
251641;Penelles;99;2404;99;2404;0;0;90;1968;33;83;38;353;14;0;0;0
171306;Pera, la;17;535;17;533;0;0;14;447;7;24;9;61;6;0;1;2
081607;Perafita;21;801;18;419;0;0;18;418;1;1;0;0;7;0;11;382
431037;Perafort;32;366;31;362;0;0;6;168;8;26;31;168;3;0;1;3
171328;Peralada;95;2991;94;2846;1;1;77;2406;35;91;45;347;17;0;18;146
251654;Peramola;40;1266;39;780;0;0;38;739;19;21;15;20;14;0;7;486
431042;Perelló, el;450;2971;447;2417;4;1;58;59;92;36;444;2321;38;1;13;553
